"iso3","median","upperci_95","lowerci_95","varnum","nutrient"
"AFG",3.23368280049833,5.52574183893453,1.92466155144043,11,"total seafood, g"
"AGO",37.9707459109995,47.6262742980814,30.2396849584722,11,"total seafood, g"
"ALB",18.3172919807951,23.7763492991232,14.226159758788,11,"total seafood, g"
"ARE",40.5108374917372,58.1625120451603,27.5592541202549,11,"total seafood, g"
"ARG",11.5925898146802,14.5806450511772,9.36609544854465,11,"total seafood, g"
"ARM",47.9030541043973,70.3207045223526,32.5110733752769,11,"total seafood, g"
"ATG",46.4758394937468,64.8723328282336,33.6189480048267,11,"total seafood, g"
"AUS",28.5753755440849,33.8730120811163,24.1210194778757,11,"total seafood, g"
"AUT",21.052032235297,27.2147625701393,16.0568077500246,11,"total seafood, g"
"AZE",22.2884667711428,29.0444608980084,17.1798168922855,11,"total seafood, g"
"BDI",32.8463934369064,40.5163024314388,26.5682983396926,11,"total seafood, g"
"BEL",19.6806016754492,23.8520653516762,16.3101927355291,11,"total seafood, g"
"BEN",22.2056818942116,26.5706356927113,18.447101263949,11,"total seafood, g"
"BFA",28.7694765280126,34.9092786813448,23.6461627631221,11,"total seafood, g"
"BGD",41.6383555192628,45.4246558667399,38.3790538129131,11,"total seafood, g"
"BGR",22.727260772657,30.4283558790396,17.3510801920586,11,"total seafood, g"
"BHR",35.5631330015555,51.3759074225587,24.8383675410379,11,"total seafood, g"
"BHS",21.2373306202806,28.918049037827,15.4717843658085,11,"total seafood, g"
"BIH",10.4096635320888,13.7653589282138,7.96484089181339,11,"total seafood, g"
"BLR",21.5129935960247,28.8191079720532,16.0797679297839,11,"total seafood, g"
"BLZ",26.317809141883,35.9216752034935,19.397633444161,11,"total seafood, g"
"BOL",13.9281741857056,16.1724814767458,12.0118855396566,11,"total seafood, g"
"BRA",28.9171633602458,32.460206072104,25.7089097133257,11,"total seafood, g"
"BRB",45.8210065298308,63.1798690762654,33.3309893655502,11,"total seafood, g"
"BRN",75.411850276531,101.387719357261,55.4012264522368,11,"total seafood, g"
"BTN",24.5014333132131,37.9439291368534,15.85629402384,11,"total seafood, g"
"BWA",24.2177942096125,30.6906011918616,19.3823937242017,11,"total seafood, g"
"CAF",38.4901225019648,48.67101753581,30.8594199904447,11,"total seafood, g"
